Date,Rep,Trial,Clam,Sediment,Density,Sex,CW,Cheliped,eaten,alive,proportion_eaten
"June 25, 2022",1,1,VC,1,1,M,75,13,0,1,0
"June 27, 2022",1,2,VC,1,2,M,66,19,0,2,0
"June 25, 2022",1,3,VC,1,4,M,60,16,0,4,0
"June 27, 2022",1,4,VC,1,6,M,75,22,0,6,0
"June 27, 2022",1,5,VC,1,10,M,75,24,2,8,0.2
"June 25, 2022",1,6,VC,1,16,M,70,20,3,13,0.1875
"June 25, 2022",1,1,VC,0,1,M,71,20,1,0,1
"June 27, 2022",1,2,VC,0,2,M,66,20,1,1,0.5
"June 25, 2022",1,3,VC,0,4,M,74,21,3,1,0.75
"June 27, 2022",1,4,VC,0,6,M,66,15,5,1,0.833333333
"June 27, 2022",1,5,VC,0,10,M,66,18,7,3,0.7
"June 27, 2022",1,6,VC,0,16,M,64,15,3,13,0.1875
"June 25, 2022",1,1,JLN,1,1,M,62,16,0,1,0
"June 27, 2022",1,2,JLN,1,2,M,71,25,1,1,0.5
"June 25, 2022",1,3,JLN,1,4,M,59,15,0,4,0
"June 25, 2022",1,4,JLN,1,6,M,66,12,0,6,0
"June 27, 2022",1,5,JLN,1,10,M,72,22,2,8,0.2
"June 27, 2022",1,6,JLN,1,16,M,71,20,3,13,0.1875
"June 25, 2022",1,1,JLN,0,1,M,67,18,0,1,0
"June 25, 2022",1,2,JLN,0,2,M,66,19,0,2,0
"June 27, 2022",1,3,JLN,0,4,M,73,22,0,4,0
"June 25, 2022",1,4,JLN,0,6,M,70,20,0,6,0
"June 25, 2022",1,5,JLN,0,10,M,71,21,0,10,0
"June 27, 2022",1,6,JLN,0,16,M,70,24,0,16,0
"June 29, 2022",2,1,VC,1,1,M,65,18,0,1,0
"June 28, 2022",2,2,VC,1,2,M,66,20,1,1,0.5
"June 28, 2022",2,3,VC,1,4,M,65,21,1,3,0.25
"June 28, 2022",2,4,VC,1,6,M,75,23,1,5,0.166666667
"June 28, 2022",2,5,VC,1,10,M,67,20,5,5,0.5
